MEP id,Name,Member State,National Party,EP Group,NOM-D1,NOM-D2
1,ABELIN Jean-Pierre,F,1414,E,0.432,-0.215
2,ABENS Victor,L,1804,S,-0.267,0.000
4,ABOIM INGLEZ Carlos,P,2102,M,-0.723,-0.173
5,ADAM Gordon J.,U,2404,S,-0.459,0.504
6,ADAMOU Dimitrios,G,1504,M,-0.712,-0.273
9,AERSSEN Jochen van,D,1201,E,0.420,-0.085
15,AIGNER Heinrich,D,1202,E,0.435,-0.064
17,ALAVANOS Alexandros,G,1504,M,-0.740,-0.272
18,ALBER Siegbert,D,1201,E,0.425,-0.105
22,ALEXANDRE Jean-Marie,F,1412,S,-0.084,-0.128
28,ALMEIDA MENDES Rui Manuel,P,2106,L,0.368,0.058
29,ALMIRANTE Giorgio,I,1601,X,0.795,-0.226
30,ALVAREZ DE EULATE PEÑARANDA José María,E,1301,C,0.472,0.730
31,ÁLVAREZ DE PAZ José,E,1314,S,-0.340,0.172
33,AMADEI Giuseppe,I,1620,S,-0.272,0.089
35,AMARAL Rui,P,2106,L,0.339,0.039
36,AMBERG Werner,D,1207,S,-0.338,0.178
39,ANASTASSOPOULOS Georgios,G,1505,E,0.335,-0.180
40,ANCONA Hedy d',N,1906,S,-0.343,0.152
41,ANDENNA Ettore Giovanni,I,1620,S,-0.211,0.125
45,ANDRÉ-LÉONARD Anne,B,1107,L,0.341,-0.004
46,ANDREWS Niall,R,2201,G,0.181,-0.781
50,ANGLADE Magdeleine,F,1402,G,0.613,-0.610
54,ANTONIOZZI Dario,I,1606,E,0.381,-0.124
55,ANTONY Bernard,F,1406,X,0.890,-0.198
60,ARBELOA MURU Víctor Manuel,E,1314,S,-0.299,0.067
64,ARGÜELLES SALAVERRIA Pedro,E,1301,C,0.446,0.626
66,ARIAS CAÑETE Miguel,E,1301,C,0.478,0.631
67,ARNDT Rudi,D,1207,S,-0.303,0.203
77,AVEROF-TOSSITSAS Evangelos,G,1505,E,.,.
78,AVGERINOS Paraskevas,G,1506,S,-0.359,0.045
82,BACHY Jean-Paul,F,1412,S,-0.253,-0.147
83,BADÉNES Monique,F,1414,E,0.408,-0.195
85,BAGET BOZZO Gianni,I,1621,S,-0.302,0.072
87,BAILLOT Louis,F,1409,M,-0.634,-0.626
92,BALFE Richard A.,U,2404,S,-0.588,0.437
94,BALSEMÃO Francisco Pinto,P,2106,L,.,.
96,BANDRÉS MOLET Juan María,E,1309,R,-0.621,-0.498
98,BANOTTI Mary Elizabeth,R,2202,E,0.337,-0.167
101,BARBARELLA Carla,I,1613,M,-0.289,-0.008
103,BARDONG Otto,D,1201,E,0.412,-0.105
104,BARÓN CRESPO Enrique,E,1314,S,-0.299,0.143
105,BARRAL AGESTA Carlos,E,1314,S,-0.327,0.207
107,BARRETT Sylvester,R,2201,G,0.521,-0.648
108,BARROS MOURA José,P,2102,M,-0.669,-0.148
113,BARZANTI Roberto,I,1613,M,-0.305,-0.074
115,BATAILLY Robert,F,1413,L,.,.
116,BATTERSBY Robert C.,U,2401,C,0.470,0.875
117,BAUDIS Dominique,F,1414,E,0.435,-0.183
119,BAUDOUIN Denis,F,1404,G,0.611,-0.625
120,BAUR Charles E.,F,1404,L,0.456,-0.214
122,BAYONA AZNAR Bernardo,E,1314,S,-0.310,0.126
126,BEAZLEY Christopher J.P.,U,2401,C,0.466,0.797
127,BEAZLEY Peter,U,2401,C,0.510,0.860
129,BECKMANN Hans-Joachim,D,1207,S,-0.350,0.325
130,BEIRÔCO Luis Filipe Pais,P,2101,E,0.442,-0.061
133,BELO Maria,P,2105,S,-0.323,-0.026
134,BENCOMO MENDOZA Carlos Manuel,E,1310,L,0.309,0.057
135,BENHAMOU Gérard,F,1413,L,0.423,-0.249
149,BERNARD-REYMOND Pierre,F,1401,E,0.467,-0.245
151,BERSANI Giovanni,I,1606,E,0.372,-0.081
155,BESSE Jean,F,1412,S,-0.235,-0.070
156,BETHELL The Lord,U,2401,C,0.429,0.900
158,BETTIZA Vincenzo,I,1616,L,0.405,0.029
159,BEUMER Bouke,N,1901,E,0.345,-0.014
160,BEYER DE RYKE Luc Ch.H.,B,1107,L,0.418,0.121
166,BIRD John A.W.,U,2404,S,-0.424,0.542
167,BISMARCK Philipp von,D,1201,E,0.401,-0.107
168,BJØRNVIG Birgit,K,1703,R,-0.778,-0.260
172,BLOCH von BLOTTNITZ Undine-Uta,D,1204,R,-0.709,-0.376
175,BLUM Roland,F,1414,L,0.217,-0.100
176,BLUMENFELD Erik Bernhard,D,1201,E,0.402,0.042
177,BOCKLET Reinhold L.,D,1202,E,0.431,-0.156
180,BOESMANS Alfons,B,1111,S,-0.400,0.105
184,BØGH Jørgen,K,1703,R,-0.437,0.253
186,BOMBARD Alain,F,1412,S,-0.277,-0.133
187,BONACCINI Aldo,I,1613,M,-0.276,-0.048
188,BONDE Jens-Peter,K,1703,R,-0.732,0.048
190,BONINO Emma,I,1617,N,-0.325,-0.381
192,BONIVER Margherita,I,1621,S,-0.126,0.227
195,BOOT Elise C.A.M.,N,1901,E,0.387,-0.074
199,BORGO Franco,I,1606,E,0.399,-0.095
204,BOSERUP Bodil,K,1709,M,-0.736,0.028
212,BOUTOS Ioannis,G,1508,G,0.454,-0.556
220,BRAUN-MOSER Ursula,D,1201,E,0.417,-0.102
222,BRÉMOND d'ARS Georges de,F,1414,L,0.478,-0.233
227,BRINCKMEIER Jürgen,D,1207,S,.,.
230,BRITO APOLONIA José António,P,2102,M,-0.659,-0.357
