MEP id,Name,Member State,National Party,EP Group,NOM-D1,NOM-D2
5,ADAM Gordon J.,U,2404,S,-0.048,0.976
11,AGLIETTA Maria Adelaide,I,1609,V,-0.653,-0.709
16,AINARDI Sylviane H.,F,1409,M,-0.399,-0.499
17,ALAVANOS Alexandros,G,1507,M,-0.334,-0.233
18,ALBER Siegbert,D,1201,E,0.520,0.101
21,ALEMANN Mechthild von,D,1203,L,0.382,-0.377
22,ALEXANDRE Jean-Marie,F,1412,S,-0.005,0.620
25,ALLEGRE Claude J.E.,F,1412,S,-0.090,0.950
26,ALLIOT-MARIE Michèle,F,1404,G,0.495,-0.781
31,ÁLVAREZ DE PAZ José,E,1314,S,-0.025,0.793
35,AMARAL Rui,P,2106,L,0.280,-0.087
37,AMENDOLA Gianfranco,I,1609,V,-0.713,-0.651
39,ANASTASSOPOULOS Georgios,G,1505,E,0.498,0.219
40,ANCONA Hedy d',N,1906,S,-0.139,0.976
45,ANDRÉ-LÉONARD Anne,B,1107,L,0.326,-0.485
46,ANDREWS Niall,R,2201,G,0.460,-0.744
49,ANGER Didier H.M.F.,F,1416,V,-0.689,-0.690
55,ANTONY Bernard,F,1406,X,0.875,-0.423
58,APOLINÁRIO José,P,2105,S,-0.017,0.712
60,ARBELOA MURU Víctor Manuel,E,1314,S,-0.026,0.680
61,ARCHIMBAUD Aline,F,1416,V,-0.669,-0.716
62,AREITIO TOLEDO Javier,E,1301,E,0.479,0.314
66,ARIAS CAÑETE Miguel,E,1301,E,0.554,0.152
73,AULAS Marie-Christine,F,1416,V,-0.665,-0.701
75,AUTANT-LARA Claude,F,1406,X,.,.
78,AVGERINOS Paraskevas,G,1506,S,-0.107,0.774
85,BAGET BOZZO Gianni,I,1621,S,-0.034,0.951
92,BALFE Richard A.,U,2404,S,-0.081,0.849
96,BANDRÉS MOLET Juan María,E,1309,V,-0.660,-0.721
98,BANOTTI Mary Elizabeth,R,2202,E,0.419,-0.026
99,BARATA MOURA José,P,2102,M,.,.
104,BARÓN CRESPO Enrique,E,1314,S,-0.029,0.974
106,BARRERA I COSTA Heribert,E,1308,R,-0.377,-0.873
108,BARROS MOURA José,P,2102,M,-0.336,-0.311
111,BARTON Roger,U,2404,S,-0.119,0.852
112,BARZACH Michèle,F,1404,G,.,.
113,BARZANTI Roberto,I,1613,O,-0.252,0.192
120,BAUR Charles E.,F,1421,L,0.473,-0.097
126,BEAZLEY Christopher J.P.,U,2401,C,0.517,0.669
127,BEAZLEY Peter,U,2401,C,0.523,0.635
130,BEIRÔCO Luis Filipe Pais,P,2101,E,0.530,0.108
133,BELO Maria,P,2105,S,-0.024,0.841
137,BENOIT Jean-Paul,F,1417,S,0.072,0.577
149,BERNARD-REYMOND Pierre,F,1401,E,0.519,-0.176
